Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Sat Nov 06 13:45:00 EDT 2021,BetterSExpression.java,1636220700163,5363,5363,(I)23,1.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,4.6,0.0,[]
,/modelData/A0UserStudy2010.arff,Sat Nov 06 13:45:00 EDT 2021,BetterSExpression.java, 1636220700163
2,,Sat Nov 06 13:45:05 EDT 2021,BetterSExpression.java,1636220705577,-6737,-6737,(I)7(R)5(I)3(R)1(I)2(R)6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
3,,Sat Nov 06 13:44:59 EDT 2021,BetterSExpression.java,1636220699411,10740,0,(I)1(R)1(I)5(R)1(I)2(R)1(I)2(R)1(I)6(R)1(I)4,0.8,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.5,2.0,0.0,[]
4,,Sat Nov 06 13:45:10 EDT 2021,BetterSExpression.java,1636220710270,6502,6502,(I)9(R)2(I)11,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.3333333333333333,3.3333333333333335,0.0,[]
5,,Sat Nov 06 13:45:16 EDT 2021,BetterSExpression.java,1636220716792,11851,0,(I)3(R)4(I)12,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,1.7272727272727273,0.0,0.0,0.0,0.0,0.36363636363636365,1.3636363636363635,0.0,[]
6,,Sat Nov 06 13:45:28 EDT 2021,BetterSExpression.java,1636220728802,4884,4884,(I)8(R)2(I)8,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.5,4.0,0.0,[]
7,,Sat Nov 06 13:45:33 EDT 2021,BetterSExpression.java,1636220733716,3252,3252,(I)1(R)4(I)4(R)1(I)2(R)1(I)2(R)1(I)1(R)1(I)1(R)1(I)2(R)1(I)1,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.3333333333333335,4.666666666666667,0.0,[]
8,,Sat Nov 06 13:45:37 EDT 2021,BetterSExpression.java,1636220737007,6493,6493,(I)21,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,[]
9,,Sat Nov 06 13:45:43 EDT 2021,BetterSExpression.java,1636220743592,13065,0,(I)19,1.0,0.0,0.0,0.0,0.0,0.0,1.4615384615384615,0.0,0.0,0.0,0.0,0.0,1.4615384615384615,0.0,[]
10,,Sat Nov 06 13:45:56 EDT 2021,BetterSExpression.java,1636220756767,4238,4238,(I)8(R)3(I)3(R)4(I)7,0.72,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,1.75,4.5,0.0,[]
11,,Sat Nov 06 13:46:01 EDT 2021,BetterSExpression.java,1636220761061,6945,6945,(I)5(R)2(I)7,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.3333333333333333,2.0,0.0,[]
12,,Sat Nov 06 13:46:09 EDT 2021,BetterSExpression.java,1636220769363,57560,0,(F)2(I)1(R)3(I)3(R)2(I)1(R)3(I)3,0.4444444444444444,0.0,0.0,11.11111111111111,0.0,0.0,0.3157894736842105,0.0,0.0,0.03508771929824561,0.0,0.14035087719298245,0.14035087719298245,0.0,[]
13,,Sat Nov 06 13:47:07 EDT 2021,BetterSExpression.java,1636220827023,12376,0,(I)1(R)1(I)11,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,1.0,0.0,[]
14,,Sat Nov 06 13:47:19 EDT 2021,BetterSExpression.java,1636220839419,10222,0,(I)1(R)1(I)5(R)3(I)3,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.4,0.9,0.0,[]
15,,Sat Nov 06 13:47:29 EDT 2021,BetterSExpression.java,1636220849662,49037,0,(I)3(D)1(F)2(I)1(F)4,0.36363636363636365,9.090909090909092,0.0,54.54545454545454,0.0,0.0,0.22448979591836735,0.0,0.02040816326530612,0.12244897959183673,0.0,0.0,0.08163265306122448,0.0,[]
16,,Sat Nov 06 13:45:39 EDT 2021,BetterSExpression.java,1636220739241,160926,0,(I)3(R)1(I)1(R)1(I)1(R)1(I)3(R)1(I)1(R)2(I)1(R)1(I)3(R)1(I)1(R)1(I)1,0.625,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.05625,0.09375,0.0,[]
17,,Sat Nov 06 13:48:20 EDT 2021,BetterSExpression.java,1636220900167,36437,0,(I)2(D)1(F)2(D)1(F)2(I)2,0.4,20.0,0.0,40.0,0.0,0.0,0.2777777777777778,0.0,0.05555555555555555,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,[]
