Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
mainPackage.Logical.NotEval,not,@NotEvaluator,not,eval,none,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Logical.NotEval,not,@NotEvaluator,not,eval,none,Evaluator,none,IllegalStateException,illegal:state:exception,java.lang.IllegalStateException,illegal:state:exception,IllegalStateException,illegal:state:exception
mainPackage.Logical.NotEval,not,@NotEvaluator,not,eval,none,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Logical.NotEval,not,@NotEvaluator,not,eval,none,Evaluator,none,IllegalStateException,illegal:state:exception,java.lang.IllegalStateException,illegal:state:exception,IllegalStateException,illegal:state:exception
mainPackage.Logical.NotEval,not,@NotEvaluator,not,eval,none,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
mainPackage.Logical.NotEval,not,@NotEvaluator,not,eval,none,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
mainPackage.Logical.NotEval,not,@NotEvaluator,not,eval,none,Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
mainPackage.Logical.NotEval,not,@NotEvaluator,not,eval,none,Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
mainPackage.Functional.SetqEvaluator,none,@SetqEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Functional.SetqEvaluator,none,@SetqEvaluator,none,eval,none,Evaluator:Evaluator,none,IllegalStateException,illegal:state:exception,java.lang.IllegalStateException,illegal:state:exception,IllegalStateException,illegal:state:exception
mainPackage.Functional.SetqEvaluator,none,@SetqEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Functional.SetqEvaluator,none,@SetqEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Functional.SetqEvaluator,none,@SetqEvaluator,none,eval,none,Evaluator:Evaluator,none,IllegalStateException,illegal:state:exception,java.lang.IllegalStateException,illegal:state:exception,IllegalStateException,illegal:state:exception
mainPackage.Functional.SetqEvaluator,none,@SetqEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
mainPackage.Functional.SetqEvaluator,none,@SetqEvaluator,none,eval,none,Evaluator:Evaluator,none,IllegalStateException,illegal:state:exception,java.lang.IllegalStateException,illegal:state:exception,IllegalStateException,illegal:state:exception
mainPackage.Functional.SetqEvaluator,none,@SetqEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
mainPackage.Functional.SetqEvaluator,none,@SetqEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
mainPackage.Functional.SetqEvaluator,none,@SetqEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Functional.SetqEvaluator,none,@SetqEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.IdentifierAtom,identifier:atom,main.lisp.parser.terms.IdentifierAtom,identifier:atom,assign,assign
mainPackage.FunctionEvaluator,function,@FunctionEvaluator,function,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.evaluator.function.FunctionFactory,function:factory,main.lisp.evaluator.function.FunctionFactory,function:factory,newInstance,new:instance
mainPackage.FunctionEvaluator,function,@FunctionEvaluator,function,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.evaluator.function.BasicLambda,basic:lambda,main.lisp.evaluator.function.BasicLambda,basic:lambda,BasicLambda,basic:lambda
mainPackage.FunctionEvaluator,function,@FunctionEvaluator,function,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.NilAtom,nil:atom,main.lisp.parser.terms.NilAtom,nil:atom,NilAtom,nil:atom
mainPackage.FunctionEvaluator,function,@FunctionEvaluator,function,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.evaluator.function.Lambda,lambda,main.lisp.evaluator.function.Lambda,lambda,newInstance,new:instance
mainPackage.FunctionEvaluator,function,@FunctionEvaluator,function,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
mainPackage.FunctionEvaluator,function,@FunctionEvaluator,function,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
mainPackage.FunctionEvaluator,function,@FunctionEvaluator,function,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,java.util.Stack,stack,java.util.Stack,stack,Stack,stack
mainPackage.Expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isAtom,is:atom
mainPackage.Expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
mainPackage.Expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
